SKU,Name,Images
VV-005-136,"5mm braided cord (136) as Sapphire","https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_090001226.MP_-scaled.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-12.jpg"
VV-005-137,"5mm braided cord (137) as Turquoise orchid","https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_084059618.MP_-scaled-e1709323790198.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-12.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/MG_8427.jpg"
VV-005-138,"5mm braided cord (138) as Mint","https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_091116439.MP_-scaled-e1709323120453.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/MG_8427.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-12.jpg"
VV-005-141,"5mm braided cord (141) as Lichen","https://www.bigcord.eu/wp-content/uploads/2024/02/MG_8402.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-4.jpg"
VV-005-143,"5mm braided cord (143) as Pine","https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_090054212.MP_-scaled-e1709324242773.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-4.jpg, https://www.bigcord.eu/wp-content/uploads/2024/05/MG_8423-scaled.jpg"
VV-005-144,"5mm braided cord (144) as Avocado","https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_085536106.MP_-scaled.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-4.jpg"
VV-005-145,"5mm braided cord (145) as Emerald","https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_085606321.MP_-scaled-e1709322928735.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-12.jpg"
VV-005-146,"5mm braided cord (146) as Monstera","https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_092455900.MP_-scaled-e1709413775641.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-4.jpg"
VV-005-148,"5mm braided cord (148) as Chlorella","https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_084046873.MP_-scaled-e1709322248687.jpg, https://www.bigcord.eu/wp-content/uploads/2024/05/MG_8423-scaled.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-4.jpg"
VV-005-149,"5mm braided cord (149) as Moonstone","https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_084712204.MP_-scaled.jpg, https://www.bigcord.eu/wp-content/uploads/2024/10/100-16.jpg"
VV-005-150,"5mm braided cord (150) as Granite","https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_084830931.MP_-1.jpg, https://www.bigcord.eu/wp-content/uploads/2024/10/100-16.jpg"
VV-005-151,"5mm braided cord (151) as Lead","https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_084752241.MP_-scaled-e1709322019904.jpg, https://www.bigcord.eu/wp-content/uploads/2024/10/100-16.jpg"
VV-005-152,"5mm braided cord (152) as Steel","https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_090127895.MP_-scaled.jpg, https://www.bigcord.eu/wp-content/uploads/2024/10/100-16.jpg"
VV-005-154,"5mm braided cord (154) as Charcoal",https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_085500413.MP_-scaled-e1709320093734.jpg
VV-005-025,"5mm braided cord (025) as Unicorn","https://www.bigcord.eu/wp-content/uploads/2024/02/unicorn.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240906_122909992.MP_-scaled.jpg, https://www.bigcord.eu/wp-content/uploads/2024/09/PXL_20240905_105134799.MP2_.jpg"
VV-005-024,"5mm braided cord (024) as Coffee with Milk","https://www.bigcord.eu/wp-content/uploads/2024/02/kava-s-mliekom.jpg, https://www.bigcord.eu/wp-content/uploads/2024/09/PXL_20240904_113333125.MP_-scaled.jpg"
VV-005-004,"5mm braided cord (004) as Christmas Burgundy Peony",https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20241008_092604800.MP2_.jpg
VV-005-010,"5mm braided cord (010) as Sapphire with Silver",https://www.bigcord.eu/wp-content/uploads/2024/02/zafir-so-striebrom-bc-scaled.jpg
VV-005-002,"5mm braided cord (002) as Christmas Elderberry flower",https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_084005061.MP_-scaled.jpg
VV-005-016,"5mm braided cord (016) as Christmas Cappuccino","https://www.bigcord.eu/wp-content/uploads/2024/02/Dark-Aesthetic-Beauty-Permanent-Makeup-Salon-Photo-Collage-Instagram-Post-5-scaled.jpg, https://www.bigcord.eu/wp-content/uploads/2024/11/100-20.jpg"
VV-005-019,"5mm braided cord (019) as Snowflake",https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_084023605.MP_-scaled-e1709320226744.jpg
VV-005-001,"5mm braided cord (001) as Christmas Snowflower",https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_084734068.MP_-scaled-e1709320172652.jpg
